neuron,soma_region,DG_MO_SEPTAL,DG_MO_TEMPORAL,DG_PO_SEPTAL,DG_PO_TEMPORAL,DG_SG_SEPTAL,DG_SG_TEMPORAL
200784_041.swc,700000006,0.0,0.0,0.0,2393.8107520147814,0.0,456.9305633218324
200784_042.swc,700000006,0.0,0.0,0.0,1883.1863859254124,0.0,134.87379933461915
200784_043.swc,700000006,0.0,0.0,0.0,3046.4495951176564,0.0,138.3633204811486
200784_044.swc,700000002,0.0,110.9694315001053,0.0,1914.6672290784302,0.0,367.5809745683596
200784_045.swc,700000002,0.0,88.38431184139513,0.0,1814.772556570946,0.0,304.29919359359263
200784_046.swc,700000002,0.0,127.68794758262791,54.68937602142155,1434.9009990141792,0.0,738.772984926173
200784_047.swc,700000002,0.0,188.3622353949664,263.4088817611005,1739.3548807238014,76.30999716543131,897.3338222385584
200784_048.swc,700000002,0.0,100.96476690482294,426.85126798176475,1124.7722867540976,165.3029903482454,650.9350518194369
200784_049.swc,700000002,0.0,86.18911777499063,311.5066675847583,1057.7824526754594,60.869424574796824,389.1805792510167
200784_050.swc,700000002,0.0,162.96183691379613,630.373697311346,869.9879294230146,233.2908956414565,482.9779557149472
200784_051.swc,700000002,0.0,30.706780555784647,39.43508327154434,1293.2146962714023,75.8479080845283,511.21779934579973
200784_052.swc,700000005,0.0,0.0,1817.2715066976189,293.2796816182211,403.8405664734762,224.35801573784784
200784_053.swc,700000005,0.0,0.0,1337.1951187791221,0.0,617.6418938214979,0.0
200784_054.swc,700000001,175.28190063136745,0.0,1260.6532186057234,89.61758193401872,731.1665577180125,105.59607899427789
200784_055.swc,700000001,55.75611541433636,0.0,2171.610299806392,0.0,456.0634020019667,0.0
200784_114.swc,700000002,0.0,50.63897593237335,0.0,1527.2329839250124,0.0,789.8331849506594
200784_115.swc,700000006,0.0,18.776887839497697,0.0,688.5919835646963,0.0,1162.840612584876
200784_116.swc,700000002,0.0,48.184180625781835,0.0,1411.3761241617874,0.0,782.9629687706516
200784_117.swc,700000002,0.0,76.52025052509117,0.0,1844.4893548272694,0.0,320.5579690313482
200784_118.swc,700000002,0.0,33.12508030002496,0.0,1540.3776875338976,0.0,813.6628657935928
200784_119.swc,700000002,0.0,101.46377116303819,0.0,2617.0313467001147,0.0,1520.3460869621345
200784_120.swc,700000002,0.0,55.869551462765486,0.0,1677.7885261300632,0.0,952.5421622331515
200784_123.swc,700000002,0.0,150.92521547556956,0.0,1247.8013725730602,0.0,758.6236606855425
200784_124.swc,700000006,0.0,0.0,0.0,2351.0075200484894,0.0,668.3592376692228
200784_125.swc,700000006,0.0,0.0,0.0,2097.726196169506,0.0,528.9413476130374
200784_126.swc,700000006,0.0,0.0,0.0,1635.7470159963127,0.0,522.927785185511
200784_127.swc,700000006,0.0,0.0,0.0,1000.3781048725283,0.0,343.8152342852525
200784_128.swc,700000002,0.0,61.523380871106916,0.0,1297.993833406822,0.0,1251.1983489109027
201733_033.swc,700000001,5.125268232331036,0.0,1229.3117282510386,52.19376954072992,647.8321178120152,18.40869306647706
201733_034.swc,700000005,0.0,0.0,954.1004866192486,706.8016225391539,270.3874024478716,0.0
201733_035.swc,700000001,2.0671477934591223,0.0,1406.6353820539314,420.9728672673626,458.72565311197513,139.53079593831487
201733_036.swc,700000006,0.0,0.0,366.890459916204,2480.0990616224217,0.0,94.07647018272185
201733_037.swc,700000002,0.0,11.907989881425095,1062.480241613519,612.6085815705284,118.64244614948737,233.32874245174622
201733_038.swc,700000006,0.0,0.0,213.65121897240647,2560.887241009884,0.0,240.88139117161555
201733_039.swc,700000006,0.0,0.0,0.0,2120.6626025393007,0.0,100.82306854762854
